HOUSING,THICKNESS,OVERRUN,STRENGTH,WTCLASS
CAGE,0.47,495,36.9,M
CAGE,0.43,462,39.2,M
CAGE,0.38,488,40.2,M
CAGE,0.47,471,33,M
CAGE,0.44,471,39,M
CAGE,0.4,502,36.6,L
CAGE,0.41,472,37.5,L
CAGE,0.45,474,38.1,L
CAGE,0.41,492,37.8,L
CAGE,0.37,479,34.9,L
FREE,0.55,520,31.5,L
FREE,0.5,531,39.7,L
FREE,0.47,513,37.8,M
FREE,0.48,510,33.5,M
FREE,0.51,521,39.9,L
FREE,0.5,510,40.6,M
BARN,0.49,515,40,M
BARN,0.5,516,37.6,M
BARN,0.51,514,39.6,M
BARN,0.48,526,40.3,L
BARN,0.52,501,38.3,L
BARN,0.5,508,40.2,L
ORGANIC,0.43,530,34.5,L
ORGANIC,0.49,544,36.8,L
ORGANIC,0.52,531,32.6,L
ORGANIC,0.49,532,38.5,M
ORGANIC,0.52,511,40.2,M
ORGANIC,0.44,527,33.2,M
